uid,premise,hypothesis,label,predicted_labels,confidence_score,predicted_labels_text
uit_Adver_2078_2_21_11,"Sáng 23/5, ông Trần Văn Vịnh, Chủ tịch UBND phường Mai Động, cho biết lý do phong tỏa là nam sinh 11 tuổi, sống tại tầng 15, tòa chung cư Park 11, Park Hill, khu đô thị Times City, nghi mắc Covid-19.",Theo thông tin một công chức Nhà nước ở phường Mai Động đã có ít nhất 11 nam sinh đã bị mắc Covid-19.,contradiction,1,0.7167381,entailment
uit_Adver_1561_4_21_08,"3h sáng cùng ngày, trái tim của của người hiến đã đập lại trong lồng ngực chàng trai.","3am, một người được tái sinh.",contradiction,1,0.7916726,entailment
uit_Adver_320_4_31_02,"Ông Phạm Cao Vỹ, chủ tịch Hiệp hội Du lịch Sa Pa chia sẻ, nhận được lời kêu gọi từ hiệp hội, rất nhiều doanh nghiệp hưởng ứng, tham gia tích cực.",Ông Phạm Cao Vỹ được yêu thích.,neutral,1,0.73576033,entailment
uit_Adver_2526_1_31_13,"Hàng ngàn ly sữa đã được cộng đồng chung tay cùng Vinamilk và Quỹ sữa Vươn cao Việt Nam góp tặng các em nhỏ khó khăn qua chiến dịch “Triệu ly sữa yêu thương, triệu nụ cười hạnh phúc”.",Vinamilk đã kêu gọi cộng đồng cùng Quỹ sữa Vươn cao Việt Nam quyên góp cho chiến dịch thiện nguyện.,neutral,1,0.73045635,entailment
uit_Adver_1595_2_31_08,"Ban chỉ đạo phòng chống Covid-19 tỉnh Quảng Nam cho biết tính từ 29/4 đến nay đã lấy 3.549 mẫu xét nghiệm, trong đó 3 mẫu dương tính nCoV là bệnh nhân 2997, 3230, 3276 lây nhiễm trong cộng đồng.",Có nhiều ca nhiễm nCov tại Quảng Nam.,neutral,1,0.7152046,entailment
uit_Adver_1293_5_21_07,"Cảnh sát lập biên bản xử phạt hành chính với chủ cơ sở kinh doanh karaoke vì để khách sử dụng ma túy tại cơ sở kinh doanh và không chấp hành việc tạm dừng hoạt động kinh doanh, dịch vụ trong thời gian phòng chống Covid-19.","Sau vụ việc, có người lại được thêm tiền.",contradiction,1,0.71552444,entailment
uit_Adver_1419_2_21_08,"Các ca xuất viện gồm 3211, 3262, 3268, 3660, đều là nữ, kết quả xét nghiệm âm tính 4 lần, tỉnh táo, không sốt, không ho, phổi hai bên thông khí tốt.",Các bệnh nhân nữ đều trải qua các lần xét nghiệm âm tính thì sẽ được điều trị tiếp tục tại bệnh viện.,contradiction,2,0.7175003,neutral
uit_Adver_277_3_11_02,"Cung đường chạy đã dẫn các vận động viên qua những vườn cây ăn trái, cung đường mòn nguyên sơ và cuối cùng sẽ về đích tại Đồi chè Trái Tim.",Vận động viên chạy đến Đồi chè Trái Tim sớm nhất sẽ giành chiến thắng.,entailment,2,0.7092056,neutral
uit_Adver_1561_3_21_08,"Người nhận tim là chàng trai 27 tuổi ngụ Đồng Nai bị cơ tim giãn, suy tim độ 4.",Đồng Nai đã xin một trái tim.,contradiction,1,0.7788126,entailment
uit_Adver_1872_3_21_10,"Bên cạnh đó, ba cầu thủ chưa bình phục chấn thương, gồm Nguyễn Trọng Hoàng, Đoàn Văn Hậu và Lê Văn Xuân, cũng đang tập riêng cùng bác sĩ Choi Ji-young.",Các cầu thủ chưa bình phục đã tập cùng với các thành viên trong khác trên sân.,contradiction,1,0.71229994,entailment
uit_Adver_2336_5_21_12,Kia có thể trình làng mẫu MPV mới vào cuối 2021 đầu 2022.,Mẫu MPV của Kia được giới thiệu trong giai đoạn thế giới đang phải đối mặt với sự xuất hiện của đại dịch Covid-19.,contradiction,1,0.74916595,entailment
uit_Adver_2259_3_31_12,"Hãng xe Hàn trang trí với những chi tiết mạ crôm ở ngoại thất như trên tay nắm, khung cửa sổ, chắn bùn trước, cũng như trên cản sau và quanh ống pô.",Khung cửa sổ của xe có chức năng trang trí.,neutral,1,0.7660783,entailment
